eap_capabilityid,capability_code,capability_name,description,agent_code,input_schema,output_schema,is_active,version,timeout_default_seconds
00000000-0000-0000-0003-000000000001,ORC_ROUTE,Route User Request,"Analyze user message and route to appropriate specialist agent",ORC,"{""user_message"": ""string"", ""session_context"": ""object""}","{""target_agent"": ""string"", ""confidence"": ""number"", ""rationale"": ""string""}",true,1.0,15
00000000-0000-0000-0003-000000000002,ORC_SESSION_INIT,Initialize Session,"Create new session with pathway selection and initial context",ORC,"{""user_message"": ""string"", ""user_id"": ""string""}","{""session_id"": ""string"", ""pathway"": ""string"", ""current_step"": ""number""}",true,1.0,10
00000000-0000-0000-0003-000000000003,ORC_GATE_VALIDATE,Validate Gate Passage,"Check if user has completed required fields for gate passage",ORC,"{""session_data"": ""object"", ""target_step"": ""number""}","{""can_proceed"": ""boolean"", ""missing_fields"": ""array"", ""guidance"": ""string""}",true,1.0,10
00000000-0000-0000-0003-000000000004,ANL_BUDGET_ALLOCATE,Allocate Budget,"Calculate optimal budget allocation across channels based on objectives",ANL,"{""total_budget"": ""number"", ""objectives"": ""array"", ""constraints"": ""object""}","{""allocations"": ""array"", ""rationale"": ""string"", ""expected_outcomes"": ""object""}",true,1.0,30
00000000-0000-0000-0003-000000000005,ANL_MARGINAL_RETURN,Calculate Marginal Return,"Estimate marginal return curves for budget allocation optimization",ANL,"{""channel"": ""string"", ""current_spend"": ""number"", ""historical_data"": ""object""}","{""marginal_curve"": ""array"", ""optimal_spend"": ""number"", ""diminishing_point"": ""number""}",true,1.0,45
00000000-0000-0000-0003-000000000006,ANL_ROI_PROJECT,Project ROI,"Calculate projected ROI across different scenarios",ANL,"{""budget"": ""number"", ""channels"": ""array"", ""timeline"": ""string""}","{""scenarios"": ""array"", ""base_case_roi"": ""number"", ""confidence_interval"": ""object""}",true,1.0,30
00000000-0000-0000-0003-000000000007,ANL_LTV_CALCULATE,Calculate LTV,"Compute customer lifetime value with cohort analysis",ANL,"{""customer_data"": ""object"", ""time_horizon"": ""number""}","{""ltv"": ""number"", ""ltv_cac_ratio"": ""number"", ""cohort_breakdown"": ""array""}",true,1.0,30
00000000-0000-0000-0003-000000000008,AUD_SEGMENT_BUILD,Build Audience Segment,"Create audience segment based on criteria and available data",AUD,"{""criteria"": ""object"", ""data_sources"": ""array""}","{""segment"": ""object"", ""estimated_size"": ""number"", ""quality_score"": ""number""}",true,1.0,30
00000000-0000-0000-0003-000000000009,AUD_PERSONA_CREATE,Create Persona,"Generate detailed audience persona from segment data",AUD,"{""segment_data"": ""object"", ""business_context"": ""string""}","{""persona"": ""object"", ""behavioral_insights"": ""array"", ""media_preferences"": ""array""}",true,1.0,30
00000000-0000-0000-0003-000000000010,AUD_JOURNEY_MAP,Map Customer Journey,"Create customer journey map with touchpoints and opportunities",AUD,"{""persona"": ""object"", ""purchase_cycle"": ""string""}","{""journey_stages"": ""array"", ""touchpoints"": ""array"", ""opportunities"": ""array""}",true,1.0,30
00000000-0000-0000-0003-000000000011,CHA_MIX_RECOMMEND,Recommend Channel Mix,"Provide channel mix recommendations based on objectives and audience",CHA,"{""objectives"": ""array"", ""audience"": ""object"", ""budget"": ""number""}","{""recommended_mix"": ""array"", ""rationale"": ""string"", ""alternatives"": ""array""}",true,1.0,30
00000000-0000-0000-0003-000000000012,CHA_BENCHMARK_LOOKUP,Lookup Channel Benchmarks,"Retrieve industry benchmarks for specific channel and vertical",CHA,"{""channel"": ""string"", ""vertical"": ""string"", ""kpi"": ""string""}","{""benchmark"": ""object"", ""percentiles"": ""object"", ""data_source"": ""string""}",true,1.0,15
00000000-0000-0000-0003-000000000013,CHA_EMERGING_EVAL,Evaluate Emerging Channels,"Assess fit and readiness for emerging media channels",CHA,"{""channel"": ""string"", ""objectives"": ""array"", ""risk_tolerance"": ""string""}","{""fit_score"": ""number"", ""considerations"": ""array"", ""pilot_recommendation"": ""object""}",true,1.0,30
