mpa_iab_id,mpa_iab_code,mpa_iab_tier,mpa_iab_parent_code,mpa_iab_name,mpa_iab_description,mpa_vertical_relevance,mpa_contextual_signal_strength
IAB-1,1,1,,Automotive,"Content about automobiles, vehicles, and transportation",AUTOMOTIVE,HIGH
IAB-42,42,1,,Books and Literature,"Content about books, reading, and literature","RETAIL,ENTERTAINMENT",MEDIUM
IAB-52,52,1,,Business and Finance,Content about business operations and financial topics,"FINANCIAL_SERVICES,B2B",HIGH
IAB-123,123,1,,Careers,"Content about employment, job searching, and career development","B2B,EDUCATION",HIGH
IAB-132,132,1,,Education,"Content about learning, schools, and educational resources",EDUCATION,HIGH
IAB-150,150,1,,Attractions,Content about tourist attractions and entertainment venues,"TRAVEL,ENTERTAINMENT",MEDIUM
IAB-163,163,1,,Personal Celebrations & Life Events,"Content about weddings, birthdays, and milestone events","RETAIL,ENTERTAINMENT",HIGH
IAB-186,186,1,,Family and Relationships,"Content about family life, parenting, and relationships","CPG,RETAIL",HIGH
IAB-201,201,1,,Fine Art,"Content about visual arts, performing arts, and artistic expression","ENTERTAINMENT,LUXURY",MEDIUM
IAB-210,210,1,,Food & Drink,"Content about cooking, dining, and beverages","CPG,RESTAURANT,RETAIL",HIGH
IAB-223,223,1,,Healthy Living,"Content about fitness, wellness, and healthy lifestyle","HEALTHCARE,CPG,FITNESS",HIGH
IAB-239,239,1,,Hobbies & Interests,Content about recreational activities and personal interests,"RETAIL,ENTERTAINMENT",MEDIUM
IAB-274,274,1,,Home & Garden,"Content about home improvement, decorating, and gardening","RETAIL,HOME_IMPROVEMENT",HIGH
IAB-286,286,1,,Medical Health,"Content about medical conditions, treatments, and healthcare","HEALTHCARE,PHARMACEUTICAL",HIGH
IAB-324,324,1,,Movies,"Content about films, cinema, and movie entertainment",ENTERTAINMENT,HIGH
IAB-338,338,1,,Music and Audio,"Content about music, audio entertainment, and musical artists",ENTERTAINMENT,HIGH
IAB-380,380,1,,Crime,Content about criminal activity and law enforcement,NEWS,LOW
IAB-381,381,1,,Disasters,Content about natural and man-made disasters,NEWS,LOW
IAB-383,383,1,,Law,Content about legal matters and the justice system,"LEGAL,B2B",MEDIUM
IAB-386,386,1,,Politics,"Content about political topics, government, and policy",NEWS,LOW
IAB-389,389,1,,War and Conflicts,Content about military conflicts and warfare,NEWS,LOW
IAB-391,391,1,,Personal Finance,Content about personal money management and financial planning,FINANCIAL_SERVICES,HIGH
IAB-422,422,1,,Pets,"Content about pet ownership, care, and animals","RETAIL,CPG",HIGH
IAB-432,432,1,,Pop Culture,"Content about celebrities, trends, and popular entertainment","ENTERTAINMENT,RETAIL",MEDIUM
IAB-441,441,1,,Real Estate,"Content about property, housing, and real estate markets","REAL_ESTATE,FINANCIAL_SERVICES",HIGH
IAB-453,453,1,,Religion & Spirituality,Content about religious beliefs and spiritual practices,NONPROFIT,LOW
IAB-464,464,1,,Science,Content about scientific research and discoveries,"EDUCATION,TECHNOLOGY",MEDIUM
IAB-473,473,1,,Shopping,"Content about retail, e-commerce, and consumer purchasing","RETAIL,CPG",HIGH
IAB-483,483,1,,Sports,Content about athletic activities and sporting events,"SPORTS,ENTERTAINMENT,RETAIL",HIGH
IAB-552,552,1,,Style & Fashion,"Content about fashion, beauty, and personal style","RETAIL,LUXURY,CPG",HIGH
IAB-596,596,1,,Technology & Computing,"Content about technology, computers, and digital devices","TECHNOLOGY,B2B",HIGH
IAB-640,640,1,,Television,Content about TV shows and television entertainment,ENTERTAINMENT,HIGH
IAB-653,653,1,,Travel,"Content about travel, tourism, and destinations",TRAVEL,HIGH
IAB-680,680,1,,Video Gaming,Content about video games and gaming culture,"ENTERTAINMENT,TECHNOLOGY",HIGH
IAB-1-2,2,2,1,Auto Body Styles,Vehicle body style categories,AUTOMOTIVE,HIGH
IAB-1-2-3,3,3,2,Commercial Trucks,Commercial and heavy-duty trucks,"AUTOMOTIVE,B2B",HIGH
IAB-1-2-6,6,3,2,SUV,Sport utility vehicles,AUTOMOTIVE,HIGH
IAB-1-2-8,8,3,2,Convertible,Convertible vehicles,"AUTOMOTIVE,LUXURY",MEDIUM
IAB-1-2-9,9,3,2,Coupe,Coupe body style vehicles,AUTOMOTIVE,MEDIUM
IAB-1-2-10,10,3,2,Crossover,Crossover vehicles,AUTOMOTIVE,HIGH
IAB-1-2-11,11,3,2,Hatchback,Hatchback vehicles,AUTOMOTIVE,MEDIUM
IAB-1-2-13,13,3,2,Minivan,Minivan vehicles,AUTOMOTIVE,HIGH
IAB-1-2-15,15,3,2,Pickup Trucks,Pickup truck vehicles,AUTOMOTIVE,HIGH
IAB-1-2-4,4,3,2,Sedan,Sedan vehicles,AUTOMOTIVE,HIGH
IAB-1-16,16,2,1,Auto Type,Vehicle type categories,AUTOMOTIVE,HIGH
IAB-1-16-17,17,3,16,Budget Cars,Economy and budget vehicles,AUTOMOTIVE,HIGH
IAB-1-16-19,19,3,16,Classic Cars,Classic and vintage automobiles,"AUTOMOTIVE,LUXURY",MEDIUM
IAB-1-16-21,21,3,16,Driverless Cars,Autonomous vehicles,"AUTOMOTIVE,TECHNOLOGY",MEDIUM
IAB-1-16-22,22,3,16,Green Vehicles,Electric and hybrid vehicles,AUTOMOTIVE,HIGH
IAB-1-16-23,23,3,16,Luxury Cars,Premium and luxury vehicles,"AUTOMOTIVE,LUXURY",HIGH
IAB-1-16-24,24,3,16,Performance Cars,High-performance sports cars,"AUTOMOTIVE,LUXURY",MEDIUM
IAB-1-25,25,2,1,Car Culture,Automotive enthusiasm and culture,"AUTOMOTIVE,ENTERTAINMENT",MEDIUM
IAB-1-27,27,2,1,Motorcycles,Motorcycle content,AUTOMOTIVE,MEDIUM
IAB-1-30,30,2,1,Auto Buying and Selling,Vehicle purchase and sales,AUTOMOTIVE,HIGH
IAB-1-31,31,2,1,Auto Insurance,Vehicle insurance topics,"AUTOMOTIVE,FINANCIAL_SERVICES",HIGH
IAB-1-32,32,2,1,Auto Parts,Vehicle parts and accessories,"AUTOMOTIVE,RETAIL",HIGH
IAB-1-34,34,2,1,Auto Repair,Vehicle maintenance and repair,AUTOMOTIVE,HIGH
IAB-1-37,37,2,1,Auto Technology,Vehicle technology features,"AUTOMOTIVE,TECHNOLOGY",HIGH
IAB-52-53,53,2,52,Business,General business topics,"B2B,FINANCIAL_SERVICES",HIGH
IAB-52-53-54,54,3,53,Business Accounting & Finance,Corporate financial management,"B2B,FINANCIAL_SERVICES",HIGH
IAB-52-53-58,58,3,53,Marketing and Advertising,Business marketing topics,B2B,HIGH
IAB-52-53-60,60,3,53,Small and Medium-sized Business,SMB topics,B2B,HIGH
IAB-52-53-61,61,3,53,Startups,Startup business content,"B2B,TECHNOLOGY",HIGH
IAB-52-80,80,2,52,Economy,Economic topics and trends,"FINANCIAL_SERVICES,B2B",HIGH
IAB-52-80-87,87,3,80,Housing Market,Real estate market conditions,"REAL_ESTATE,FINANCIAL_SERVICES",HIGH
IAB-52-80-89,89,3,80,Job Market,Employment market trends,"B2B,EDUCATION",HIGH
IAB-52-90,90,2,52,Industries,Industry-specific content,B2B,HIGH
IAB-52-90-95,95,3,90,Financial Industry,Financial services sector,FINANCIAL_SERVICES,HIGH
IAB-52-90-97,97,3,90,Healthcare Industry,Healthcare sector topics,HEALTHCARE,HIGH
IAB-52-90-112,112,3,90,Real Estate Industry,Real estate sector,REAL_ESTATE,HIGH
IAB-52-90-115,115,3,90,Technology Industry,Technology sector,TECHNOLOGY,HIGH
IAB-52-90-114,114,3,90,Retail Industry,Retail sector,RETAIL,HIGH
IAB-132-133,133,2,132,Adult Education,Continuing education for adults,EDUCATION,HIGH
IAB-132-137,137,2,132,College Education,Higher education topics,EDUCATION,HIGH
IAB-132-137-139,139,3,137,Postgraduate Education,Graduate school content,EDUCATION,HIGH
IAB-132-145,145,2,132,Homeschooling,Home education content,EDUCATION,MEDIUM
IAB-132-147,147,2,132,Language Learning,Foreign language education,EDUCATION,HIGH
IAB-132-148,148,2,132,Online Education,E-learning and online courses,"EDUCATION,TECHNOLOGY",HIGH
IAB-186-188,188,2,186,Dating,Dating and relationships,ENTERTAINMENT,MEDIUM
IAB-186-191,191,2,186,Marriage and Civil Unions,Marriage-related content,"RETAIL,ENTERTAINMENT",HIGH
IAB-186-192,192,2,186,Parenting,Child-rearing content,"CPG,RETAIL",HIGH
