eap_capability_implementationid,capability_code,environment_code,implementation_type,implementation_reference,configuration_json,priority_order,is_enabled,fallback_implementation_id,timeout_seconds,retry_count,retry_delay_ms
00000000-0000-0000-0004-000000000001,ORC_ROUTE,1,1,MPA_ORC_Route_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,15,3,1000
00000000-0000-0000-0004-000000000002,ORC_ROUTE,2,2,https://kdap-functions.azurewebsites.net/api/OrcRoute,"{""api_version"":""2024-01"",""auth_type"":""managed_identity""}",1,true,00000000-0000-0000-0004-000000000003,15,3,1000
00000000-0000-0000-0004-000000000003,ORC_ROUTE,2,1,MPA_ORC_Route_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",2,true,,15,3,1000
00000000-0000-0000-0004-000000000004,ORC_SESSION_INIT,1,1,MPA_ORC_SessionInit_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,10,2,500
00000000-0000-0000-0004-000000000005,ORC_SESSION_INIT,2,1,MPA_ORC_SessionInit_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,10,2,500
00000000-0000-0000-0004-000000000006,ORC_GATE_VALIDATE,1,1,MPA_ORC_GateValidate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.2}",1,true,,10,2,500
00000000-0000-0000-0004-000000000007,ORC_GATE_VALIDATE,2,1,MPA_ORC_GateValidate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.2}",1,true,,10,2,500
00000000-0000-0000-0004-000000000008,ANL_BUDGET_ALLOCATE,1,1,MPA_ANL_BudgetAllocate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000009,ANL_BUDGET_ALLOCATE,2,2,https://kdap-functions.azurewebsites.net/api/AnlBudgetAllocate,"{""api_version"":""2024-01"",""use_mmm"":true}",1,true,00000000-0000-0000-0004-000000000010,30,3,1000
00000000-0000-0000-0004-000000000010,ANL_BUDGET_ALLOCATE,2,1,MPA_ANL_BudgetAllocate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",2,true,,30,3,1000
00000000-0000-0000-0004-000000000011,ANL_MARGINAL_RETURN,1,1,MPA_ANL_MarginalReturn_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,45,3,1000
00000000-0000-0000-0004-000000000012,ANL_MARGINAL_RETURN,2,2,https://kdap-functions.azurewebsites.net/api/AnlMarginalReturn,"{""api_version"":""2024-01"",""curve_type"":""logarithmic""}",1,true,00000000-0000-0000-0004-000000000013,45,3,1000
00000000-0000-0000-0004-000000000013,ANL_MARGINAL_RETURN,2,1,MPA_ANL_MarginalReturn_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",2,true,,45,3,1000
00000000-0000-0000-0004-000000000014,ANL_ROI_PROJECT,1,1,MPA_ANL_ROIProject_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000015,ANL_ROI_PROJECT,2,1,MPA_ANL_ROIProject_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000016,ANL_LTV_CALCULATE,1,1,MPA_ANL_LTVCalculate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000017,ANL_LTV_CALCULATE,2,2,https://kdap-functions.azurewebsites.net/api/AnlLTVCalculate,"{""api_version"":""2024-01"",""cohort_months"":24}",1,true,00000000-0000-0000-0004-000000000018,30,3,1000
