mpa_behavior_id,mpa_behavior_category,mpa_behavior_name,mpa_behavior_description,mpa_signal_type,mpa_platforms_available,mpa_vertical_relevance,mpa_intent_level,mpa_data_freshness
BEH-PURCH-001,PURCHASE,Recently Purchased - Automotive,Made vehicle-related purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",AUTOMOTIVE,HIGH,DAILY
BEH-PURCH-002,PURCHASE,Recently Purchased - Electronics,Made electronics purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","TECHNOLOGY,RETAIL",HIGH,DAILY
BEH-PURCH-003,PURCHASE,Recently Purchased - Apparel,Made clothing purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",HIGH,DAILY
BEH-PURCH-004,PURCHASE,Recently Purchased - Home Goods,Made home goods purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,HOME_IMPROVEMENT",HIGH,DAILY
BEH-PURCH-005,PURCHASE,Recently Purchased - Beauty,Made beauty/cosmetics purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","CPG,RETAIL",HIGH,DAILY
BEH-PURCH-006,PURCHASE,Recently Purchased - Food Delivery,Ordered food delivery in last 7 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RESTAURANT,CPG",HIGH,DAILY
BEH-PURCH-007,PURCHASE,Recently Purchased - Travel,Booked travel in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",TRAVEL,HIGH,DAILY
BEH-PURCH-008,PURCHASE,Recently Purchased - Subscription,Started subscription service in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","ENTERTAINMENT,TECHNOLOGY",HIGH,DAILY
BEH-PURCH-009,PURCHASE,Recently Purchased - Financial Product,Opened financial account in last 90 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",FINANCIAL_SERVICES,HIGH,DAILY
BEH-PURCH-010,PURCHASE,Recently Purchased - Insurance,Purchased insurance in last 90 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",FINANCIAL_SERVICES,HIGH,DAILY
BEH-PURCH-011,PURCHASE,Heavy Buyer - Online,Makes 10+ online purchases per month,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",HIGH,DAILY
BEH-PURCH-012,PURCHASE,Moderate Buyer - Online,Makes 3-9 online purchases per month,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-013,PURCHASE,Light Buyer - Online,Makes 1-2 online purchases per month,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",LOW,DAILY
BEH-PURCH-014,PURCHASE,Heavy Buyer - In-Store,Visits retail stores 4+ times per week,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-015,PURCHASE,Subscription Stacker,Has 5+ active subscriptions,FIRST_PARTY,"GOOGLE,META,TTD,DV360","ENTERTAINMENT,TECHNOLOGY",HIGH,DAILY
BEH-PURCH-016,PURCHASE,Impulse Buyer,Makes unplanned purchases frequently,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-017,PURCHASE,Deal Seeker,Waits for sales/promotions to purchase,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-018,PURCHASE,Premium Buyer,Consistently purchases premium/luxury items,FIRST_PARTY,"GOOGLE,META,TTD,DV360","LUXURY,RETAIL",HIGH,DAILY
BEH-PURCH-019,PURCHASE,High-Value Purchaser,Average transaction value >$200,FIRST_PARTY,"GOOGLE,META,TTD,DV360","LUXURY,RETAIL,TECHNOLOGY",HIGH,DAILY
BEH-PURCH-020,PURCHASE,Mid-Value Purchaser,Average transaction value $50-200,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-021,PURCHASE,Value Shopper,Primarily purchases discounted items,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-022,PURCHASE,Big Ticket Buyer,Made purchase >$1000 in last 90 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","AUTOMOTIVE,REAL_ESTATE,LUXURY",HIGH,DAILY
BEH-PURCH-023,PURCHASE,Micro-Transaction User,Makes frequent small digital purchases,FIRST_PARTY,"GOOGLE,META,TTD,DV360","ENTERTAINMENT,TECHNOLOGY",MEDIUM,DAILY
BEH-BROW-024,BROWSING,Heavy Video Consumer,Watches 20+ hours of video content weekly,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ENTERTAINMENT,MEDIUM,REAL_TIME
BEH-BROW-025,BROWSING,News Reader,Reads news content daily,FIRST_PARTY,"GOOGLE,META,TTD,DV360","NEWS,B2B",MEDIUM,REAL_TIME
BEH-BROW-026,BROWSING,Research Mode,Multiple product page views without purchase,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TECHNOLOGY",HIGH,REAL_TIME
BEH-BROW-027,BROWSING,Review Reader,Frequently reads product reviews,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TECHNOLOGY",HIGH,REAL_TIME
BEH-BROW-028,BROWSING,Comparison Shopper,Visits competitor sites within session,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TECHNOLOGY,AUTOMOTIVE",HIGH,REAL_TIME
BEH-BROW-029,BROWSING,Long-Form Content Consumer,Reads articles 5+ minutes,FIRST_PARTY,"GOOGLE,META,TTD,DV360","EDUCATION,B2B",MEDIUM,REAL_TIME
BEH-BROW-030,BROWSING,Social Content Consumer,Highly engaged with social media content,FIRST_PARTY,"GOOGLE,META,TTD,DV360","ENTERTAINMENT,RETAIL",MEDIUM,REAL_TIME
BEH-BROW-031,BROWSING,Mobile First Browser,90%+ browsing on mobile devices,FIRST_PARTY,"GOOGLE,META,TTD,DV360","TECHNOLOGY,RETAIL",MEDIUM,REAL_TIME
BEH-BROW-032,BROWSING,Cart Abandoner,Added to cart but did not purchase,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",HIGH,REAL_TIME
BEH-BROW-033,BROWSING,Repeat Visitor,Visited same site 3+ times in 7 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,HIGH,REAL_TIME
BEH-BROW-034,BROWSING,Deep Site Explorer,Views 10+ pages per session,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,MEDIUM,REAL_TIME
BEH-BROW-035,BROWSING,Quick Bouncer,Leaves site within 10 seconds,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,LOW,REAL_TIME
BEH-BROW-036,BROWSING,Form Starter,Began but did not complete form,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,HIGH,REAL_TIME
BEH-BROW-037,BROWSING,Wishlist Creator,Added items to wishlist,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TRAVEL",HIGH,REAL_TIME
BEH-BROW-038,BROWSING,Price Alert Subscriber,Signed up for price drop notifications,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TRAVEL",HIGH,REAL_TIME
BEH-BROW-039,BROWSING,Newsletter Subscriber,Opted into email communications,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,MEDIUM,REAL_TIME
BEH-BROW-040,BROWSING,Active Searcher - Product,Searching for specific products,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TECHNOLOGY",HIGH,REAL_TIME
BEH-BROW-041,BROWSING,Active Searcher - Service,Searching for service providers,FIRST_PARTY,"GOOGLE,META,TTD,DV360","B2B,FINANCIAL_SERVICES",HIGH,REAL_TIME
BEH-BROW-042,BROWSING,Active Searcher - Local,Searching for local businesses,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RESTAURANT,RETAIL,HEALTHCARE",HIGH,REAL_TIME
BEH-BROW-043,BROWSING,Active Searcher - Reviews,Searching for reviews and comparisons,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,HIGH,REAL_TIME
