eap_flagcode,eap_flagname,eap_description,eap_category,eap_isenabled,eap_defaultvalue,eap_fallbackmessage,eap_agentcode
eap_require_session_tracking,Require Session Tracking,Require all agent interactions to have a session record,100000000,true,true,Session tracking is required but unavailable. Please try again.,
eap_enable_cross_agent_handoff,Enable Cross-Agent Handoff,Allow agents to hand off conversations to other agents,100000000,false,false,Cross-agent handoff is not enabled in this environment.,
eap_enable_user_preferences,Enable User Preferences,Allow users to save preferences that persist across sessions,100000000,true,true,User preferences are not available.,
mpa_enable_document_generation,Enable Document Generation,Generate Word/PDF media plan documents,100000001,true,true,Document generation is not available. Your media plan data has been saved and can be exported manually.,MPA
mpa_enable_web_search,Enable Web Search,Search external web for research and benchmarks,100000002,true,true,Web search is not available in this environment. Using internal knowledge base instead.,MPA
mpa_enable_benchmark_lookup,Enable Benchmark Lookup,Query benchmark database for industry comparisons,100000001,true,true,Benchmark data is currently unavailable. Proceeding with general industry guidelines.,MPA
mpa_enable_budget_optimization,Enable Budget Optimization,Run automated budget allocation optimization,100000001,true,true,Budget optimization is not available. Please allocate budget manually.,MPA
mpa_enable_external_api,Enable External API Calls,Call external APIs for data enrichment,100000002,true,true,External API access is restricted in this environment.,MPA
mpa_enable_channel_recommendations,Enable Channel Recommendations,Provide AI-powered channel mix recommendations,100000001,true,true,Channel recommendations are not available. Please select channels manually.,MPA
mpa_enable_projections,Enable Performance Projections,Calculate expected performance projections,100000001,true,true,Performance projections are not available.,MPA
mpa_enable_gap_analysis,Enable Gap Analysis,Identify gaps and opportunities in media plans,100000001,true,true,Gap analysis is not available.,MPA
ca_enable_external_research,Enable External Research,Research external sources for consulting insights,100000002,true,true,External research is restricted. Using internal knowledge base.,CA
ca_enable_deliverable_generation,Enable Deliverable Generation,Generate consulting deliverable documents,100000001,true,true,Deliverable generation is not available.,CA
int_enable_sharepoint_search,Enable SharePoint Search,Search SharePoint document libraries,100000002,true,true,SharePoint search is not available.,
int_enable_confluence_search,Enable Confluence Search,Search Confluence knowledge base (corporate),100000002,false,false,Confluence search is not available.,
int_enable_teams_notifications,Enable Teams Notifications,Send notifications via Microsoft Teams,100000002,false,false,Teams notifications are not enabled.,
int_enable_email_notifications,Enable Email Notifications,Send notifications via email,100000002,true,true,Email notifications are not enabled.,
sec_enable_audit_logging,Enable Audit Logging,Enhanced audit trail for compliance,100000003,false,false,,
sec_require_data_classification,Require Data Classification,Require sensitivity classification for outputs,100000003,false,false,Data classification is required before proceeding.,
sec_enable_row_level_security,Enable Row-Level Security,Enforce BU/department/team access controls,100000003,false,false,,
sec_enable_pii_detection,Enable PII Detection,Detect and flag personally identifiable information,100000003,false,false,,
ui_show_advanced_options,Show Advanced Options,Display advanced configuration options to users,100000004,true,true,,
ui_enable_feedback_collection,Enable Feedback Collection,Allow users to provide feedback on agent responses,100000004,true,true,,
ui_show_debug_info,Show Debug Information,Display debugging information (development only),100000004,true,true,,
