flag_key,flag_name,is_enabled,environment_profile,description
feature_web_crawl,Web Crawling,false,corporate,Disabled - security policy
feature_external_apis,External APIs,false,corporate,Azure only
feature_document_intelligence,Document Intelligence,true,corporate,Azure Doc Intelligence
feature_ai_search,AI Search,true,corporate,Azure AI Search
feature_salesforce_sync,Salesforce Sync,true,corporate,Approved integration
feature_confluence_sync,Confluence Sync,true,corporate,Approved integration
feature_advanced_analytics,Advanced Analytics,false,corporate,Requires approval
feature_export_pii,Export with PII,false,corporate,PII must be masked
feature_custom_prompts,Custom Prompts,false,corporate,IT-approved prompts only
feature_bulk_operations,Bulk Operations,true,corporate,Batch processing allowed
feature_api_playground,API Playground,false,corporate,Disabled in production
feature_debug_mode,Debug Mode,false,corporate,Disabled in production
