mpa_partnerid,partner_code,partner_name,partner_type,platform_fee_percent,tech_fee_cpm,data_fee_cpm,minimum_spend,supported_channels,nbi_score,brand_safety_certified,viewability_guarantee,description,is_preferred,is_active
00000000-0000-0000-0012-000000000001,TTD,The Trade Desk,1,0.00,0.50,0.00,25000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,CTV_STREAMING,AUDIO_STREAMING",92.50,true,70.00,"Leading independent DSP with strong CTV and identity solutions",true,true
00000000-0000-0000-0012-000000000002,DV360,Display & Video 360,1,0.00,0.35,0.00,10000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,VIDEO_YOUTUBE,DISPLAY_NATIVE",88.00,true,65.00,"Google's enterprise DSP with YouTube integration",true,true
00000000-0000-0000-0012-000000000003,AMAZON_DSP,Amazon DSP,1,0.00,0.45,0.25,35000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,CTV_STREAMING,RETAIL_AMAZON",85.00,true,60.00,"Amazon's DSP with first-party shopping data",true,true
00000000-0000-0000-0012-000000000004,XANDR,Microsoft Xandr,1,0.00,0.40,0.00,15000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,CTV_STREAMING",86.50,true,65.00,"Microsoft's programmatic platform with LinkedIn data",false,true
00000000-0000-0000-0012-000000000005,PUBMATIC,PubMatic,2,12.00,0.00,0.00,0.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC",78.00,true,0.00,"Premium SSP with strong header bidding",false,true
00000000-0000-0000-0012-000000000006,INDEX,Index Exchange,2,15.00,0.00,0.00,0.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,CTV_STREAMING",82.00,true,0.00,"Transparent exchange with quality inventory",true,true
00000000-0000-0000-0012-000000000007,MAGNITE,Magnite,2,14.00,0.00,0.00,0.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,CTV_STREAMING,AUDIO_STREAMING",80.00,true,0.00,"Largest independent SSP for CTV",true,true
00000000-0000-0000-0012-000000000008,OPENX,OpenX,2,13.00,0.00,0.00,0.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC",76.00,true,0.00,"Clean supply SSP with strong sustainability focus",false,true
00000000-0000-0000-0012-000000000009,LIVERAMP,LiveRamp,3,0.00,0.00,1.50,10000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,CTV_STREAMING,SOCIAL_META",0.00,false,0.00,"Identity resolution and data onboarding platform",true,true
00000000-0000-0000-0012-000000000010,ORACLE_DMP,Oracle Data Cloud,3,0.00,0.00,2.00,15000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC",0.00,false,0.00,"Third-party audience data marketplace",false,true
00000000-0000-0000-0012-000000000011,LOTAME,Lotame,3,0.00,0.00,1.25,8000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,SOCIAL_META",0.00,false,0.00,"Cookieless data solutions and CDP",false,true
00000000-0000-0000-0012-000000000012,NIELSEN,Nielsen,4,0.00,0.30,0.00,20000.00,"VIDEO_PROGRAMMATIC,CTV_STREAMING,VIDEO_YOUTUBE",0.00,true,0.00,"Cross-platform measurement and audience insights",true,true
00000000-0000-0000-0012-000000000013,COMSCORE,Comscore,4,0.00,0.25,0.00,15000.00,"VIDEO_PROGRAMMATIC,CTV_STREAMING",0.00,true,0.00,"Digital audience measurement and analytics",false,true
00000000-0000-0000-0012-000000000014,NEUSTAR,TransUnion TruAudience,4,0.00,0.20,0.50,12000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC",0.00,true,0.00,"Identity resolution and marketing analytics",false,true
00000000-0000-0000-0012-000000000015,IAS,Integral Ad Science,5,0.00,0.08,0.00,5000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,CTV_STREAMING,SOCIAL_META",0.00,true,0.00,"Brand safety, viewability, and fraud prevention",true,true
00000000-0000-0000-0012-000000000016,DV,DoubleVerify,5,0.00,0.10,0.00,5000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,CTV_STREAMING,SOCIAL_META",0.00,true,0.00,"Ad verification and brand safety solutions",true,true
00000000-0000-0000-0012-000000000017,MOAT,Oracle Moat,5,0.00,0.06,0.00,8000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC",0.00,true,0.00,"Attention analytics and viewability measurement",false,true
00000000-0000-0000-0012-000000000018,INNOVID,Innovid,6,0.00,0.15,0.00,10000.00,"VIDEO_PROGRAMMATIC,CTV_STREAMING",0.00,true,0.00,"CTV ad serving and creative optimization",true,true
00000000-0000-0000-0012-000000000019,FLASHTALKING,Flashtalking,6,0.00,0.12,0.00,8000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,SOCIAL_META",0.00,true,0.00,"Creative ad serving and DCO platform",false,true
00000000-0000-0000-0012-000000000020,CELTRA,Celtra,6,0.00,0.08,0.00,5000.00,"DISPLAY_OPEN,VIDEO_PROGRAMMATIC,SOCIAL_META",0.00,false,0.00,"Creative automation and management platform",false,true
