mpa_verticalid,vertical_code,vertical_name,parent_vertical_code,typical_sales_cycle_days,typical_aov_low,typical_aov_high,seasonality_pattern,description,is_active
00000000-0000-0000-0008-000000000001,RETAIL,Retail,,7,25.00,150.00,2,"General retail including department stores and specialty retail",true
00000000-0000-0000-0008-000000000002,RETAIL_ECOMM,E-Commerce,RETAIL,3,35.00,200.00,2,"Online-first retail and digital commerce",true
00000000-0000-0000-0008-000000000003,RETAIL_LUXURY,Luxury Retail,RETAIL,30,500.00,5000.00,2,"High-end luxury goods and premium brands",true
00000000-0000-0000-0008-000000000004,CPG,Consumer Packaged Goods,,14,5.00,50.00,1,"Fast-moving consumer goods including food, beverages, household items",true
00000000-0000-0000-0008-000000000005,AUTO,Automotive,,90,25000.00,75000.00,1,"Vehicle manufacturers and dealerships",true
00000000-0000-0000-0008-000000000006,FINSERV,Financial Services,,45,500.00,50000.00,1,"Banking, insurance, investment, and financial products",true
00000000-0000-0000-0008-000000000007,FINSERV_INSUR,Insurance,FINSERV,60,200.00,5000.00,1,"Life, health, auto, and property insurance",true
00000000-0000-0000-0008-000000000008,TECH,Technology,,30,100.00,10000.00,4,"Software, hardware, and technology services",true
00000000-0000-0000-0008-000000000009,TECH_SAAS,SaaS,TECH,45,50.00,500.00,1,"Software as a service and subscription technology",true
00000000-0000-0000-0008-000000000010,TRAVEL,Travel & Hospitality,,21,200.00,3000.00,3,"Airlines, hotels, vacation packages, tourism",true
00000000-0000-0000-0008-000000000011,HEALTH,Healthcare,,60,100.00,2000.00,1,"Healthcare providers, pharmaceuticals, medical devices",true
00000000-0000-0000-0008-000000000012,TELECOM,Telecommunications,,30,50.00,200.00,1,"Mobile carriers, internet providers, communications",true
00000000-0000-0000-0008-000000000013,MEDIA,Media & Entertainment,,7,10.00,100.00,1,"Streaming, gaming, publishing, entertainment",true
00000000-0000-0000-0008-000000000014,EDU,Education,,120,500.00,50000.00,4,"Higher education, online learning, educational services",true
00000000-0000-0000-0008-000000000015,B2B,Business Services,,90,1000.00,100000.00,1,"B2B services, consulting, enterprise solutions",true
