mpa_vertical_code,mpa_vertical_name,mpa_vertical_description,mpa_is_active
GENERAL,General,General industry vertical,Yes
RETAIL,Retail,Retail industry vertical,Yes
ECOMMERCE,Ecommerce,Ecommerce industry vertical,Yes
AUTOMOTIVE,Automotive,Automotive industry vertical,Yes
FINANCE,Finance,Finance industry vertical,Yes
HEALTHCARE,Healthcare,Healthcare industry vertical,Yes
TRAVEL,Travel,Travel industry vertical,Yes
TECHNOLOGY,Technology,Technology industry vertical,Yes
CPG,Cpg,Cpg industry vertical,Yes
EDUCATION,Education,Education industry vertical,Yes
REAL_ESTATE,Real_Estate,Real_Estate industry vertical,Yes
PROFESSIONAL_SERVICES,Professional_Services,Professional_Services industry vertical,Yes
